a52dec 0.7.4-9
libpurple 2.11.0-1
libraw1394 2.1.2-1
librsvg 2:2.40.16-1
libsamplerate 0.1.8-3
libsasl 2.1.26-7
libseccomp 2.3.1-1
libsecret 0.18.5-1
libshout 1:2.4.1-2
libsm 1.2.2-2
libsndfile 1.0.27-1
libsodium 1.0.10-1
libsoup 2.54.1-1
libsoxr 0.1.2-1
libssh 0.7.3-1
libssh2 1.7.0-2
libsystemd 230-5
libtar 1.2.20-2
libtasn1 4.8-2
libteam 1.23-1
libthai 0.1.24-1
libtheora 1.1.1-3
libtiff 4.0.6-2
libtiger 0.3.4-4
libtirpc 1.0.1-2
libtool 2.4.6-5
libtorrent-rasterbar 1:1.1-2
libtxc_dxtn 1.0.1-6
libunistring 0.9.6-2
libunwind 1.1-3
libupnp 1.6.19-1
libusb 1.0.20-1
libutempter 1.1.6-2
libutil-linux 2.28-1
libuv 1.9.1-1
libva 1.7.1-1
libvdpau 1.1.1-2
libvisual 0.4.0-6
libvoikko 4.0.2-1
libvorbis 1.3.5-1
libvpx 1.5.0-4
libwacom 0.18-1
libwebp 0.5.0-1
libwnck3 3.20.1-1
libx11 1.6.3-1
libx264 2:148.20160103-1
libxau 1.0.8-2
libxaw 1.0.13-1
libxcb 1.12-1
libxcomposite 0.4.4-2
libxcursor 1.1.14-2
libxdamage 1.1.4-2
libxdmcp 1.1.2-1
libxext 1.3.3-1
libxfixes 5.0.2-1
libxfont 1.5.1-1
libxft 2.3.2-1
libxi 1.7.6-1
libxinerama 1.1.3-2
libxkbcommon 0.6.1-1
libxkbfile 1.0.9-1
libxml2 2.9.4+0+gbdec218-2
libxmu 1.1.2-1
libxpm 3.5.11-1
libxrandr 1.5.0-1
libxrender 0.9.9-1
libxres 1.0.7-1
libxshmfence 1.2-1
libxss 1.2.2-2
libxt 1.1.5-1
libxtst 1.2.2-1
libxv 1.0.10-1
libxvmc 1.0.9-1
libxxf86dga 1.1.4-1
libxxf86vm 1.1.4-1
licenses 20140629-1
linux 4.6.3-1
linux-api-headers 4.5.5-1
linux-firmware 20160516.80d463b-1
llvm-libs 3.8.0-1
lm_sensors 3.4.0-1
logrotate 3.9.2-1
lsb-release 1.4-14
lua 5.3.3-1
lvm2 2.02.157-1
lz4 131-1
lzo 2.09-1
m4 1.4.17-2
make 4.2.1-1
man-db 2.7.5-2
man-pages 4.06-1
mdadm 3.4-1
meld 3.16.1-1
mesa 11.2.2-1
mesa-libgl 11.2.2-1
mkinitcpio 19-1
mkinitcpio-busybox 1.24.2-1
mobile-broadband-provider-info 20151214-1
mpfr 3.1.4.p1-1
mpg123 1.23.5-1
mtdev 1.1.5-1
nano 2.6.1-1
ncurses 6.0-4
netctl 1.12-2
nettle 3.2-2
nm-connection-editor 1.2.2-1
nodejs 6.2.2-1
notify-osd 0.9.34-2
noto-fonts 20151224-2
npm 3.10.3-1
npth 1.2-1
nspr 4.12-1
nss 3.24-1
ntfs-3g 2016.2.22-1
opencore-amr 0.1.3-2
openjpeg 1.5.2-1
openresolv 3.8.1-1
openssh 7.2p2-2
openssl 1.0.2.h-1
opus 1.1.2-1
orc 0.4.25-2
p11-kit 0.23.2-1
pacman 5.0.1-4
pacman-mirrorlist 20160614-1
pam 1.2.1-3
pambase 20130928-1
pango 1.40.1-1
patch 2.7.5-1
pciutils 3.5.1-1
pcmciautils 018-7
pcre 8.39-1
perl 5.24.0-1
perl-error 0.17024-1
perl-file-basedir 0.07-1
perl-ipc-system-simple 1.25-1
perl-xml-parser 2.44-3
pidgin 2.11.0-1
pidgin-libnotify-notify-osd 0.14-6
pinentry 0.9.7-2
pixman 0.34.0-1
pkg-config 0.29.1-1
polkit 0.113-4
popt 1.16-8
procps-ng 3.3.11-2
protobuf 2.6.1-2
protobuf-c 1.2.1-2
psmisc 22.21-3
purple-hangouts-hg r260.df08afb3435d-1
pygobject-devel 3.20.0-2
python 3.5.1-2
python-packaging 16.7-1
python-pip 8.1.2-1
python-pyparsing 2.1.5-1
python-setuptools 1:24.0.0-1
python-six 1.10.0-1
python-xdg 0.25-3
python2 2.7.11-3
python2-attrs 16.0.0-1
python2-beaker 1.8.0-1
python2-cairo 1.10.0-2
python2-cffi 1.7.0-1
python2-chardet 2.3.0-2
python2-crypto 2.6.1-3
python2-cryptography 1.4-1
python2-enum34 1.1.6-1
python2-gobject 3.20.0-2
python2-idna 2.1-1
python2-ipaddress 1.0.16-1
python2-mako 1.0.4-1
python2-markupsafe 0.23-3
python2-packaging 16.7-1
python2-pip 8.1.2-1
python2-ply 3.8-1
python2-pyasn1 0.1.9-1
python2-pyasn1-modules 0.0.8-1
python2-pycparser 2.14-2
python2-pyopenssl 16.0.0-1
python2-pyparsing 2.1.5-1
python2-service-identity 16.0.0-1
python2-setuptools 1:24.0.0-1
python2-six 1.10.0-1
python2-twisted 16.2.0-1
python2-xdg 0.25-3
python2-zope-interface 4.2.0-1
randrproto 1.5.0-1
readline 6.3.008-4
recordproto 1.14.2-2
reiserfsprogs 3.6.24-1
renderproto 0.11.1-3
rest 0.8.0-1
runc 0.1.1-1
rxvt-unicode 9.22-2
rxvt-unicode-terminfo 9.22-2
s-nail 14.8.9-1
schroedinger 1.0.11-3
scrnsaverproto 1.2.2-2
scrot 0.8.13-1
sdl 1.2.15-7
sdl_image 1.2.12-3
sed 4.2.2-4
semver 5.2.0-1
shadow 4.2.1-3
shared-mime-info 1.6-2
slang 2.3.0-1
slock 1.3-1
snappy 1.1.3-2
sound-theme-freedesktop 0.8-2
speech-dispatcher 0.8.4-2
speex 1.2rc2-1
