

DBspace Usage Report: rootdbs             Owner: informix  Created: 11/07/2011


 Chunk Pathname                             Pagesize(k)  Size(p)  Used(p)  Free(p)
     1 /home/informix/local/local_root                2    50000    26962    23038

 Description                                                   Offset(p)  Size(p)
 ------------------------------------------------------------- -------- --------
 sysadmin:'informix'.sysprocauth                                  22353        8
 sysadmin:'informix'.sysprocbody                                  22361       16
 sysadmin:'informix'.sysprocedures                                22377        8
 sysadmin:'informix'.sysprocbody                                  22385       32
 sysadmin:'informix'.sysprocedures                                22417        8
 sysadmin:'informix'.sysprocbody                                  22425       16
 sysadmin:'informix'.command_history                              22441        8
 sysadmin:'informix'.ix_cmd_hist_02                               22449        4
 sysadmin:'informix'.ph_group                                     22453        8
 sysadmin:'informix'.ix_ph_group_01                               22461        4
 sysadmin:'informix'.ix_ph_group_02                               22465        4
 sysadmin:'informix'.ph_task                                      22469        8
 sysadmin:'informix'. 102_4                                       22477        4
 sysadmin:'informix'.ix_ph_task_01                                22481        4
 sysadmin:'informix'.ix_ph_task_02                                22485        4
 sysadmin:'informix'.ix_ph_task_03                                22489        4
 sysadmin:'informix'.ph_run                                       22493        8
 sysadmin:'informix'.ix_ph_run_01                                 22501        4
 sysadmin:'informix'.ix_ph_run_02                                 22505        4
 sysadmin:'informix'.ix_ph_run_03                                 22509        4
 sysadmin:'informix'.ph_alert                                     22513        8
 sysadmin:'informix'.ix_ph_alert_01                               22521        4
 sysadmin:'informix'.ix_ph_alert_02                               22525        4
 sysadmin:'informix'.ph_threshold                                 22529        8
 sysadmin:'informix'.syschecks                                    22537        8
 sysadmin:'informix'.ix_ph_threshold_01                           22545        4
 rootdbs:'informix'.TBLSpace                                      22549       50
 sysadmin:'informix'.ix_ph_threshold_02                           22599        4
 sysadmin:'informix'.ph_bg_jobs                                   22603        8
 sysadmin:'informix'.ph_bg_jobs_ix1                               22611        4
 sysadmin:'informix'.ph_bg_jobs_ix2                               22615        4
 sysadmin:'informix'.ph_bg_jobs_ix3                               22619        4
 sysadmin:'informix'.ph_bg_jobs_results                           22623        8
 sysadmin:'informix'.syscolumns                                   22631        8
 sysadmin:'informix'.ph_bg_jobs_results_ix1                       22639        4
 sysadmin:'informix'.ph_bg_jobs_results_ix2                       22643        4
 sysadmin:'informix'.ph_bg_jobs_seq                               22647        8
 sysadmin:'informix'.ph_version                                   22655        8
 sysadmin:'informix'.ph_version_ix1                               22663        8
 sysadmin:'informix'.sysproccolumns                               22671        8
 sysadmin:'informix'.sysprocbody                                  22679       32
 sysadmin:'informix'.sysprocplan                                  22711        8
 sysadmin:'informix'.ph_task                                      22719        8
 sysadmin:'informix'.sysprocplan                                  22727        8
 sysadmin:'informix'.sysprocbody                                  22735       16
 sysadmin:'informix'.sysprocedures                                22751        8
 sysadmin:'informix'.sysprocbody                                  22759       16
 sysadmin:'informix'.sysprocplan                                  22775        8
 sysadmin:'informix'.sysprocbody                                  22783       64
 sysadmin:'informix'.sysprocauth                                  22847        8
 sysadmin:'informix'.sysprocbody                                  22855       16
 sysadmin:'informix'.sysprocplan                                  22871        8
 sysadmin:'informix'.sysprocbody                                  22879       32
 sysadmin:'informix'.sysprocplan                                  22911        8
 sysadmin:'informix'.mon_config                                   22919        8
 sysadmin:'informix'.mon_table_names                              22927        8
 sysadmin:'informix'.mon_table_names_idx1                         22935        4
 sysadmin:'informix'.sysindices                                   22939        8
 sysadmin:'informix'.mon_users                                    22947        8
 sysadmin:'informix'.mon_table_names                              22955        8
 sysadmin:'informix'.mon_table_profile                            22963       16
 sysadmin:'informix'.mon_memory_system                            22979        8
 sysadmin:'informix'.mon_checkpoint                               22987        8
 sysadmin:'informix'.idx_mon_ckpt_1                               22995        4
 sysadmin:'informix'.mon_vps                                      22999        8
 sysadmin:'informix'.mon_prof                                     23007        8
 sysadmin:'informix'.mon_prof_idx1                                23015        6
 sysadmin:'informix'.mon_sysenv                                   23021        8
 sysadmin:'informix'.mon_table_names_idx1                         23029        4
 sysadmin:'informix'.aus_cmd_info                                 23033        8
 sysadmin:'informix'.aus_cmd_info_index1                          23041        4
 sysadmin:'informix'.mon_table_profile_sys_ix1                    23045        4
 sysadmin:'informix'.sysdefaults                                  23049        8
 sysadmin:'informix'.aus_cmd_info_index2                          23057        6
 sysadmin:'informix'.aus_command                                  23063        8
 sysadmin:'informix'.aus_command_ix1                              23071        4
 sysadmin:'informix'.aus_command_ix2                              23075        8
 sysadmin:'informix'.sysdistrib                                   23083        8
 sysadmin:'informix'.mon_prof_idx1                                23091        6
 FREE                                                             23097        2
 sysadmin:'informix'.mon_table_profile_sys_ix1                    23099        4
 sysuser:'informix'.sysdistrib                                    23103        8
 sysadmin:'informix'.mon_table_profile                            23111        8
 sysadmin:'informix'.aus_command_ix1                              23119        4
 stores_demo:'informix'. 100_1                                    23123        4
 sysadmin:'informix'.mon_table_profile_sys_ix1                    23127        4
 sysutils:'informix'.sysdistrib                                   23131        8
 sysadmin:'informix'.sysobjstate                                  23139        8
 sysadmin:'informix'.sysprocplan                                  23147        8
 stores_demo:'informix'. 102_3                                    23155        4
 sysadmin:'informix'.mon_prof_idx1                                23159        6
 FREE                                                             23165        2
 sysadmin:'informix'.sysprocplan                                  23167        8
 sysadmin:'informix'.mon_table_profile                            23175       16
 sysadmin:'informix'.mon_checkpoint                               23191        8
 sysadmin:'informix'.mon_prof_idx1                                23199        6
 FREE                                                             23205        2
 sysadmin:'informix'.aus_command_ix1                              23207        4
 sysadmin:'informix'.aus_command_ix2                              23211        4
 sysadmin:'informix'.mon_table_profile                            23215       16
 sysadmin:'informix'.sysdistrib                                   23231        8
 sysuser:'informix'.sysdistrib                                    23239        8
 sysadmin:'informix'.sysdistrib                                   23247        8
 sysutils:'informix'.sysdistrib                                   23255        8
 sysadmin:'informix'.sysdistrib                                   23263       16
 sysutils:'informix'.sysdistrib                                   23279        8
 sysuser:'informix'.sysdistrib                                    23287        8
 sysadmin:'informix'.sysdistrib                                   23295        8
 sysutils:'informix'.sysdistrib                                   23303       16
 sysadmin:'informix'.sysdistrib                                   23319       88
 sysutils:'informix'.sysdistrib                                   23407        8
 sysuser:'informix'.sysdistrib                                    23415       88
 sysutils:'informix'.sysdistrib                                   23503       72
 sysadmin:'informix'.sysdistrib                                   23575        8
 stores_demo:'informix'.systables                                 23583        8
 stores_demo:'informix'.syscolumns                                23591       24
 stores_demo:'informix'.sysindices                                23615       32
 stores_demo:'informix'.systabauth                                23647       16
 stores_demo:'informix'.syscolauth                                23663        8
 stores_demo:'informix'.sysviews                                  23671        8
 stores_demo:'informix'.sysusers                                  23679        8
 stores_demo:'informix'.sysdepend                                 23687        8
 stores_demo:'informix'.syssynonyms                               23695        8
 stores_demo:'informix'.syssyntable                               23703        8
 stores_demo:'informix'.sysconstraints                            23711        8
 stores_demo:'informix'.sysreferences                             23719        8
 stores_demo:'informix'.syschecks                                 23727        8
 stores_demo:'informix'.sysdefaults                               23735        8
 stores_demo:'informix'.syscoldepend                              23743        8
 stores_demo:'informix'.sysprocedures                             23751        8
 stores_demo:'informix'.sysprocbody                               23759        8
 stores_demo:'informix'.sysprocplan                               23767        8
 stores_demo:'informix'.sysprocauth                               23775        8
 stores_demo:'informix'.sysblobs                                  23783        8
 rootdbs:'informix'.TBLSpace                                      23791       50
 stores_demo:'informix'.sysopclstr                                23841        8
 stores_demo:'informix'.systriggers                               23849        8
 stores_demo:'informix'.systrigbody                               23857        8
 stores_demo:'informix'.sysdistrib                                23865        8
 stores_demo:'informix'.sysfragments                              23873        8
 stores_demo:'informix'.sysfragauth                               23881        8
 stores_demo:'informix'.sysxtdtypes                               23889        8
 stores_demo:'informix'.sysxtddesc                                23897        8
 stores_demo:'informix'.sysattrtypes                              23905        8
 stores_demo:'informix'.sysinherits                               23913        8
 stores_demo:'informix'.syscolattribs                             23921        8
 stores_demo:'informix'.syslogmap                                 23929        8
 stores_demo:'informix'.syscasts                                  23937       24
 stores_demo:'informix'.sysxtdtypeauth                            23961        8
 stores_demo:'informix'.sysams                                    23969        8
 stores_demo:'informix'.systabamdata                              23977        8
 stores_demo:'informix'.sysopclasses                              23985        8
 stores_demo:'informix'.syserrors                                 23993        8
 stores_demo:'informix'.systraceclasses                           24001        8
 stores_demo:'informix'.systracemsgs                              24009        8
 stores_demo:'informix'.sysroutinelangs                           24017        8
 stores_demo:'informix'.syslangauth                               24025        8
 stores_demo:'informix'.sysaggregates                             24033        8
 stores_demo:'informix'.sysroleauth                               24041        8
 stores_demo:'informix'.sysobjstate                               24049        8
 stores_demo:'informix'.sysviolations                             24057        8
 stores_demo:'informix'.syssequences                              24065        8
 stores_demo:'informix'.sysdirectives                             24073        8
 stores_demo:'informix'.sysxasourcetypes                          24081        8
 stores_demo:'informix'.sysxadatasources                          24089        8
 stores_demo:'informix'.sysseclabelcomponents                     24097        8
 stores_demo:'informix'.sysseclabelcomponentelements              24105        8
 stores_demo:'informix'.syssecpolicies                            24113        8
 stores_demo:'informix'.syssecpolicycomponents                    24121        8
 stores_demo:'informix'.syssecpolicyexemptions                    24129        8
 stores_demo:'informix'.sysseclabels                              24137        8
 stores_demo:'informix'.sysseclabelnames                          24145        8
 stores_demo:'informix'.sysseclabelauth                           24153        8
 stores_demo:'informix'.syssurrogateauth                          24161        8
 stores_demo:'informix'.sysproccolumns                            24169        8
 stores_demo:'informix'.sysexternal                               24177        8
 stores_demo:'informix'.sysextdfiles                              24185        8
 stores_demo:'informix'.sysextcols                                24193        8
 stores_demo:'informix'.systables                                 24201        8
 stores_demo:'informix'.sysprocbody                               24209        8
 stores_demo:'informix'.sysprocedures                             24217        8
 stores_demo:'informix'.sysprocbody                               24225       16
 stores_demo:'informix'.sysprocauth                               24241        8
 stores_demo:'informix'.sysprocbody                               24249        8
 stores_demo:'informix'.sysprocedures                             24257        8
 stores_demo:'informix'.sysprocbody                               24265       24
 stores_demo:'informix'.sysproccolumns                            24289        8
 stores_demo:'informix'.sysprocedures                             24297        8
 stores_demo:'informix'.sysprocbody                               24305       32
 stores_demo:'informix'.sysprocedures                             24337        8
 stores_demo:'informix'.sysprocbody                               24345        8
 stores_demo:'informix'.sysprocauth                               24353        8
 stores_demo:'informix'.sysprocbody                               24361        8
 stores_demo:'informix'.sysprocedures                             24369        8
 stores_demo:'informix'.sysprocbody                               24377       16
 stores_demo:'informix'.syscasts                                  24393        8
 stores_demo:'informix'.sysprocbody                               24401       16
 stores_demo:'informix'.sysprocedures                             24417        8
 stores_demo:'informix'.sysprocbody                               24425       16
 stores_demo:'informix'.sysproccolumns                            24441        8
 stores_demo:'informix'.sysprocauth                               24449        8
 stores_demo:'informix'.sysprocbody                               24457        8
 stores_demo:'informix'.sysprocedures                             24465        8
 stores_demo:'informix'.sysprocbody                               24473       16
 stores_demo:'informix'.sysprocplan                               24489        8
 stores_demo:'informix'.sysprocbody                               24497       16
 stores_demo:'informix'.sysprocedures                             24513        8
 stores_demo:'informix'.sysprocbody                               24521       24
 stores_demo:'informix'.sysproccolumns                            24545        8
 stores_demo:'informix'.sysprocbody                               24553       56
 stores_demo:'informix'.sysprocplan                               24609        8
 stores_demo:'informix'.sysprocedures                             24617        8
 stores_demo:'informix'.sysprocbody                               24625       16
 stores_demo:'informix'.sysprocauth                               24641        8
 stores_demo:'informix'.sysprocplan                               24649        8
 stores_demo:'informix'.sysprocbody                               24657       16
 stores_demo:'informix'.sysprocedures                             24673        8
 stores_demo:'informix'.sysprocbody                               24681       16
 stores_demo:'informix'.sysproccolumns                            24697        8
 stores_demo:'informix'.sysprocbody                               24705       16
 stores_demo:'informix'.sysprocedures                             24721        8
 stores_demo:'informix'.sysprocbody                               24729       16
 stores_demo:'informix'.sysprocauth                               24745        8
 stores_demo:'informix'.sysprocbody                               24753       16
 stores_demo:'informix'.sysprocedures                             24769        8
 stores_demo:'informix'.customer                                  24777        8
 stores_demo:'informix'.ext_customer                              24785        8
 stores_demo:'informix'.orders                                    24793        8
 stores_demo:'informix'. 102_4                                    24801        4
 stores_demo:'informix'.manufact                                  24805        8
 rootdbs:'informix'.TBLSpace                                      24813       50
 stores_demo:'informix'. 103_7                                    24863        4
 stores_demo:'informix'.stock                                     24867        8
 stores_demo:'informix'. 104_8                                    24875        4
 stores_demo:'informix'. 104_9                                    24879        4
 stores_demo:'informix'.items                                     24883        8
 stores_demo:'informix'. 105_10                                   24891        6
 stores_demo:'informix'. 105_11                                   24897        4
 stores_demo:'informix'. 105_12                                   24901        4
 stores_demo:'informix'.state                                     24905        8
 stores_demo:'informix'. 106_16                                   24913        5
 stores_demo:'informix'.call_type                                 24918        8
 stores_demo:'informix'. 107_17                                   24926        4
 stores_demo:'informix'.cust_calls                                24930        8
 stores_demo:'informix'. 108_18                                   24938        4
 stores_demo:'informix'. 108_19                                   24942        4
 stores_demo:'informix'. 108_20                                   24946        4
 stores_demo:'informix'.zip_ix                                    24950        4
 stores_demo:'informix'.catalog                                   24954        8
 stores_demo:'informix'. 109_21                                   24962        4
 stores_demo:'informix'. 109_22                                   24966        4
 stores_demo:'informix'.catalog                                   24970        8
 stores_demo:'informix'.tab                                       24978        8
 stores_demo:'informix'.warehouses                                24986        8
 stores_demo:'informix'.classes                                   24994        8
 stores_demo:'informix'.employee                                  25002        8
 sysadmin:'informix'.mon_prof_idx1                                25010        6
 stores_demo:'informix'.customer1                                 25016        8
 stores_demo:'informix'. 114_26                                   25024        4
 stores_demo:'informix'.zip1_ix                                   25028        4
 stores_demo:'informix'.name1_ix                                  25032        4
 stores_demo:'informix'.customer2                                 25036       16
 stores_demo:'informix'.sysindices                                25052        8
 stores_demo:'informix'. 115_28                                   25060        4
 stores_demo:'informix'.name1_ix                                  25064        4
 stores_demo:'informix'.customer1                                 25068        8
 stores_demo:'informix'.name1_ix                                  25076        4
 stores_demo:'informix'.customer1                                 25080        8
 stores_demo:'informix'.zip1_ix                                   25088        4
 stores_demo:'informix'. 114_26                                   25092        4
 stores_demo:'informix'.customer1                                 25096        8
 stores_demo:'informix'.name1_ix                                  25104        4
 stores_demo:'informix'.customer1                                 25108       16
 stores_demo:'informix'.name1_ix                                  25124        4
 stores_demo:'informix'.zip1_ix                                   25128        4
 stores_demo:'informix'.customer1                                 25132        8
 stores_demo:'informix'.name1_ix                                  25140        4
 stores_demo:'informix'.customer1                                 25144       16
 stores_demo:'informix'. 114_26                                   25160        4
 stores_demo:'informix'.customer1                                 25164        8
 stores_demo:'informix'.name1_ix                                  25172        4
 stores_demo:'informix'.customer1                                 25176        8
 stores_demo:'informix'.zip1_ix                                   25184        4
 stores_demo:'informix'.name1_ix                                  25188        4
 stores_demo:'informix'.customer1                                 25192        8
 stores_demo:'informix'.name1_ix                                  25200        4
 stores_demo:'informix'.customer1                                 25204       16
 stores_demo:'informix'. 114_26                                   25220        4
 stores_demo:'informix'.customer1                                 25224        8
 stores_demo:'informix'.name1_ix                                  25232        4
 stores_demo:'informix'.customer1                                 25236       16
 stores_demo:'informix'.name1_ix                                  25252        4
 stores_demo:'informix'.zip1_ix                                   25256        4
 stores_demo:'informix'.customer1                                 25260        8
 stores_demo:'informix'.name1_ix                                  25268        4
 stores_demo:'informix'.customer1                                 25272       16
 stores_demo:'informix'.name1_ix                                  25288        4
 stores_demo:'informix'. 114_26                                   25292        4
 stores_demo:'informix'.customer1                                 25296        8
 stores_demo:'informix'.name1_ix                                  25304        4
 stores_demo:'informix'.customer1                                 25308       16
 stores_demo:'informix'.name1_ix                                  25324        4
 stores_demo:'informix'.customer1                                 25328       16
 stores_demo:'informix'.name1_ix                                  25344        4
 stores_demo:'informix'. 114_26                                   25348        4
 stores_demo:'informix'.customer1                                 25352       16
 stores_demo:'informix'.name1_ix                                  25368        8
 stores_demo:'informix'.customer1                                 25376       32
 stores_demo:'informix'.name1_ix                                  25408        8
 stores_demo:'informix'. 114_26                                   25416        4
 stores_demo:'informix'.customer1                                 25420       16
 stores_demo:'informix'.zip1_ix                                   25436        4
 stores_demo:'informix'.customer1                                 25440       32
 stores_demo:'informix'. 114_26                                   25472        4
 stores_demo:'informix'.name1_ix                                  25476        8
 stores_demo:'informix'.customer1                                 25484       32
 stores_demo:'informix'.name1_ix                                  25516        8
 stores_demo:'informix'.customer1                                 25524       16
 stores_demo:'informix'.customer2                                 25540      464
 stores_demo:'informix'. 115_28                                   26004        4
 sysadmin:'informix'.mon_prof                                     26008       16
 stores_demo:'informix'.syscolumns                                26024        8
 sysadmin:'informix'.mon_checkpoint                               26032        8
 sysadmin:'informix'.aus_command                                  26040       16
 stores_demo:'informix'. 115_28                                   26056        4
 sysadmin:'informix'.ph_alert                                     26060        8
 sysadmin:'informix'.aus_command                                  26068       24
 stores_demo:'informix'.sysdistrib                                26092        8
 sysadmin:'informix'.mon_prof                                     26100        8
 stores_demo:'informix'.customer2                                 26108        8
 sysadmin:'informix'.aus_command                                  26116       16
 stores_demo:'informix'. 115_28                                   26132        4
 sysadmin:'informix'.aus_command                                  26136       32
 stores_demo:'informix'.customer2                                 26168      504
 stores_demo:'informix'. 115_28                                   26672       88
 stores_demo:'informix'.zip2_ix                                   26760       84
 stores_demo:'informix'.name2_ix                                  26844      120
 sysadmin:'informix'.mon_prof                                     26964        8
 FREE                                                             26972    23028

 Total Used:    26962
 Total Free:    23038



DBspace Usage Report: dbspace1            Owner: informix  Created: 11/07/2011


 Chunk Pathname                             Pagesize(k)  Size(p)  Used(p)  Free(p)
     2 /home/informix/local/chunk1                    2    50000      245    49755

 Description                                                   Offset(p)  Size(p)
 ------------------------------------------------------------- -------- --------
 RESERVED PAGES                                                       0        2
 CHUNK FREELIST PAGE                                                  2        1
 dbspace1:'informix'.TBLSpace                                         3       50
 stores_demo:'informix'.customer3                                    53      192
 FREE                                                               245    49755

 Total Used:      245
 Total Free:    49755



DBspace Usage Report: dbspace2            Owner: informix  Created: 11/07/2011


 Chunk Pathname                             Pagesize(k)  Size(p)  Used(p)  Free(p)
     3 /home/informix/local/chunk2                    2    50000      245    49755

 Description                                                   Offset(p)  Size(p)
 ------------------------------------------------------------- -------- --------
 RESERVED PAGES                                                       0        2
 CHUNK FREELIST PAGE                                                  2        1
 dbspace2:'informix'.TBLSpace                                         3       50
 stores_demo:'informix'.customer3                                    53      192
 FREE                                                               245    49755

 Total Used:      245
 Total Free:    49755



DBspace Usage Report: dbspace3            Owner: informix  Created: 11/07/2011


 Chunk Pathname                             Pagesize(k)  Size(p)  Used(p)  Free(p)
     4 /home/informix/local/chunk3                    2    50000      104    49896

 Description                                                   Offset(p)  Size(p)
 ------------------------------------------------------------- -------- --------
 RESERVED PAGES                                                       0        2
 CHUNK FREELIST PAGE                                                  2        1
 dbspace3:'informix'.TBLSpace                                         3       50
 stores_demo:'informix'.cust_num3_ix                                 53       12
 stores_demo:'informix'.zip3_ix                                      65       10
 stores_demo:'informix'.name3_ix                                     75       29
 FREE                                                               104    49896

 Total Used:      104
 Total Free:    49896

