

DBspace Usage Report: rootdbs             Owner: informix  Created: 11/07/2011


 Chunk Pathname                             Pagesize(k)  Size(p)  Used(p)  Free(p)
     1 /home/informix/local/local_root                2    50000    26962    23038

 Description                                                   Offset(p)  Size(p)
 ------------------------------------------------------------- -------- --------
 sysmaster:'informix'.sysprocbody                                 18403       16
 sysmaster:'informix'.sysprocedures                               18419        8
 sysmaster:'informix'.syscolumns                                  18427       16
 sysmaster:'informix'.sysindices                                  18443        8
 sysmaster:'informix'.flags_text                                  18451        8
 sysmaster:'informix'.flags_text_ix1                              18459       12
 sysmaster:'informix'.flags_text                                  18471        8
 sysmaster:'informix'.flags_text_ix1                              18479       16
 sysmaster:'informix'.flags_text                                  18495        8
 sysmaster:'informix'.flags_text_ix1                              18503       16
 sysmaster:'informix'.flags_text                                  18519        8
 sysmaster:'informix'.flags_text_ix1                              18527        4
 sysmaster:'informix'.smi_build_status                            18531        8
 sysmaster:'informix'.logmessage                                  18539        8
 sysmaster:'informix'.sysprocbody                                 18547       16
 sysmaster:'informix'.systabauth                                  18563        8
 sysmaster:'informix'.syscolumns                                  18571        8
 sysmaster:'informix'.syscolauth                                  18579        8
 sysmaster:'informix'.sysviews                                    18587        8
 sysmaster:'informix'.syscolumns                                  18595        8
 sysmaster:'informix'.systables                                   18603        8
 sysutils:'informix'. 100_1                                       18611        4
 FREE                                                             18615        2
 sysmaster:'informix'.syscolumns                                  18617        8
 sysmaster:'informix'.sysaudit                                    18625        8
 sysmaster:'informix'.systabauth                                  18633        8
 sysmaster:'informix'.sysviews                                    18641        8
 sysutils:'informix'. 101_4                                       18649        4
 sysmaster:'informix'.syscolumns                                  18653        8
 sysmaster:'informix'.sysextspaces                                18661        8
 sysmaster:'informix'.sysprocplan                                 18669       16
 sysutils:'informix'.systables                                    18685        8
 sysutils:'informix'.syscolumns                                   18693        8
 sysutils:'informix'. 102_9                                       18701        4
 sysmaster:'informix'.sysindices                                  18705        8
 sysutils:'informix'.syscolumns                                   18713       16
 sysutils:'informix'.sysindices                                   18729       32
 sysutils:'informix'.systabauth                                   18761       16
 sysutils:'informix'.syscolauth                                   18777        8
 sysutils:'informix'.sysviews                                     18785        8
 sysutils:'informix'.sysusers                                     18793        8
 sysutils:'informix'.sysdepend                                    18801        8
 sysutils:'informix'.syssynonyms                                  18809        8
 sysutils:'informix'.syssyntable                                  18817        8
 sysutils:'informix'.sysconstraints                               18825        8
 sysutils:'informix'.sysreferences                                18833        8
 sysutils:'informix'.syschecks                                    18841        8
 sysutils:'informix'.sysdefaults                                  18849        8
 sysutils:'informix'.syscoldepend                                 18857        8
 sysutils:'informix'. 102_10                                      18865        4
 sysmaster:'informix'.syscolumns                                  18869        8
 sysutils:'informix'.sysprocedures                                18877        8
 sysutils:'informix'.sysprocbody                                  18885        8
 sysutils:'informix'.sysprocplan                                  18893        8
 sysutils:'informix'.sysprocauth                                  18901        8
 sysutils:'informix'.sysblobs                                     18909        8
 sysutils:'informix'.sysopclstr                                   18917        8
 sysmaster:'informix'.sysfragments                                18925        8
 sysutils:'informix'.systriggers                                  18933        8
 sysutils:'informix'.systrigbody                                  18941        8
 sysutils:'informix'.sysdistrib                                   18949        8
 sysutils:'informix'.sysfragments                                 18957        8
 sysutils:'informix'.sysfragauth                                  18965        8
 sysutils:'informix'.bar_act_idx                                  18973        4
 sysmaster:'informix'.systables                                   18977        8
 sysutils:'informix'.sysxtdtypes                                  18985        8
 sysutils:'informix'.sysxtddesc                                   18993        8
 sysutils:'informix'.sysattrtypes                                 19001        8
 sysutils:'informix'.sysinherits                                  19009        8
 sysutils:'informix'.syscolattribs                                19017        8
 sysutils:'informix'.syslogmap                                    19025        8
 sysutils:'informix'.syscasts                                     19033       24
 sysutils:'informix'.sysxtdtypeauth                               19057        8
 sysutils:'informix'.sysams                                       19065        8
 sysutils:'informix'.systabamdata                                 19073        8
 sysutils:'informix'.sysopclasses                                 19081        8
 sysutils:'informix'.syserrors                                    19089        8
 sysutils:'informix'.systraceclasses                              19097        8
 sysutils:'informix'.systracemsgs                                 19105        8
 FREE                                                             19113        2
 sysmaster:'informix'.syscolumns                                  19115        8
 sysutils:'informix'.sysroutinelangs                              19123        8
 sysutils:'informix'.syslangauth                                  19131        8
 sysutils:'informix'.sysaggregates                                19139        8
 sysutils:'informix'.sysroleauth                                  19147        8
 sysutils:'informix'.sysobjstate                                  19155        8
 sysutils:'informix'.sysviolations                                19163        8
 sysutils:'informix'.syssequences                                 19171        8
 sysutils:'informix'.sysdirectives                                19179        8
 sysmaster:'informix'.systabauth                                  19187        8
 sysutils:'informix'.sysxasourcetypes                             19195        8
 sysutils:'informix'.sysxadatasources                             19203        8
 sysutils:'informix'.sysseclabelcomponents                        19211        8
 sysutils:'informix'.sysseclabelcomponentelements                 19219        8
 sysutils:'informix'.syssecpolicies                               19227        8
 sysutils:'informix'. 103_14                                      19235        4
 sysmaster:'informix'.sysindices                                  19239        8
 sysutils:'informix'.syssecpolicycomponents                       19247        8
 sysutils:'informix'.syssecpolicyexemptions                       19255        8
 sysutils:'informix'.sysseclabels                                 19263        8
 sysutils:'informix'.sysseclabelnames                             19271        8
 sysutils:'informix'.sysseclabelauth                              19279        8
 sysutils:'informix'.syssurrogateauth                             19287        8
 sysutils:'informix'.sysproccolumns                               19295        8
 sysutils:'informix'.sysexternal                                  19303        8
 sysutils:'informix'.ins_aid_idx                                  19311        4
 sysmaster:'informix'.syscolumns                                  19315        8
 sysutils:'informix'.sysextdfiles                                 19323        8
 sysutils:'informix'.sysextcols                                   19331        8
 sysutils:'informix'.systables                                    19339        8
 sysutils:'informix'.sysprocbody                                  19347        8
 sysutils:'informix'.sysprocedures                                19355        8
 sysutils:'informix'.sysprocbody                                  19363       16
 sysutils:'informix'.sysprocauth                                  19379        8
 sysutils:'informix'.sysprocbody                                  19387        8
 sysutils:'informix'.sysprocedures                                19395        8
 sysutils:'informix'.sysprocbody                                  19403       24
 sysutils:'informix'.sysproccolumns                               19427        8
 sysutils:'informix'.sysprocedures                                19435        8
 sysutils:'informix'.sysprocbody                                  19443       16
 sysutils:'informix'.bar_inst_idx                                 19459        4
 sysmaster:'informix'.sysobjstate                                 19463        8
 sysutils:'informix'.sysprocbody                                  19471       16
 sysutils:'informix'.sysprocedures                                19487        8
 sysutils:'informix'.sysprocbody                                  19495        8
 sysutils:'informix'.sysprocauth                                  19503        8
 sysutils:'informix'.sysprocbody                                  19511        8
 sysutils:'informix'.sysprocedures                                19519        8
 sysutils:'informix'.sysprocbody                                  19527       16
 sysutils:'informix'.syscasts                                     19543        8
 sysutils:'informix'.sysprocbody                                  19551        8
 sysmaster:'informix'.systables                                   19559        8
 sysutils:'informix'.sysprocbody                                  19567        8
 sysmaster:'informix'.syscolumns                                  19575        8
 sysutils:'informix'.sysprocedures                                19583        8
 sysutils:'informix'.sysprocbody                                  19591       16
 sysutils:'informix'.sysproccolumns                               19607        8
 sysutils:'informix'.sysprocauth                                  19615        8
 sysutils:'informix'.sysprocbody                                  19623        8
 sysutils:'informix'.sysprocedures                                19631        8
 sysutils:'informix'.sysprocbody                                  19639       16
 sysutils:'informix'.sysprocplan                                  19655        8
 sysutils:'informix'.sysprocbody                                  19663       24
